receipt_id,visit_id,paid_at,payment_method,customer_id,subtotal_yen,discount_total_yen,tax_rate_applied,tax_rate_hist_id,tax_yen,total_yen,applied_discount_ids,points_earned,points_used
R00000101,V00000101,2025-01-01T21:26:14+09:00,card,,1040,152,0.08,TH00000003,71,959,D001|D002,0,0
R00000102,V00000102,2025-01-01T10:00:25+09:00,card,,3750,288,0.08,TH00000003,277,3739,D001|D002,0,0
R00000103,V00000103,2025-01-01T17:56:01+09:00,cash,C00000024,780,139,0.08,TH00000003,51,692,D001|D002,0,0
R00000104,V00000104,2025-01-01T20:56:50+09:00,qr,,9060,553,0.08,TH00000003,681,9188,D001|D002,0,0
R00000105,V00000105,2025-01-01T09:03:12+09:00,qr,C00000025,5650,383,0.08,TH00000003,421,5688,D001|D002,0,0
R00000106,V00000106,2025-01-01T16:55:47+09:00,card,,2340,217,0.08,TH00000003,170,2293,D001|D002,0,0
R00000107,V00000107,2025-01-01T13:12:02+09:00,card,C00000026,3120,256,0.08,TH00000003,229,3093,D001|D002,0,0
R00000108,V00000108,2025-01-01T10:03:41+09:00,card,C00000027,4740,337,0.08,TH00000003,352,4755,D001|D002,0,0
R00000109,V00000109,2025-01-01T10:00:26+09:00,qr,,3820,291,0.08,TH00000003,282,3811,D001|D002,0,0
R00000110,V00000110,2025-01-01T13:13:19+09:00,cash,C00000028,13060,753,0.08,TH00000003,985,13292,D001|D002,0,0
R00000111,V00000111,2025-01-01T08:46:00+09:00,card,C00000029,2140,207,0.08,TH00000003,155,2088,D001|D002,0,0
R00000112,V00000112,2025-01-01T09:18:17+09:00,qr,,5080,354,0.08,TH00000003,378,5104,D001|D002,0,0
R00000113,V00000113,2025-01-01T09:39:57+09:00,card,,4690,335,0.08,TH00000003,348,4703,D001|D002,0,0
R00000114,V00000114,2025-01-01T15:48:42+09:00,cash,,15680,884,0.08,TH00000003,1184,15980,D001|D002,0,0
R00000115,V00000115,2025-01-02T10:39:35+09:00,card,,10400,620,0.08,TH00000003,782,10562,D001|D002,0,0
R00000116,V00000116,2025-01-02T19:36:30+09:00,card,,9140,557,0.08,TH00000003,687,9270,D001|D002,0,0
R00000117,V00000117,2025-01-02T10:15:05+09:00,cash,,4670,334,0.08,TH00000003,347,4683,D001|D002,0,0
R00000118,V00000118,2025-01-02T15:10:27+09:00,card,,6090,405,0.08,TH00000003,455,6140,D001|D002,0,0
R00000119,V00000119,2025-01-02T14:13:38+09:00,cash,,4770,339,0.08,TH00000003,354,4785,D001|D002,0,0
R00000120,V00000120,2025-01-02T19:10:02+09:00,qr,C00000030,7060,453,0.08,TH00000003,529,7136,D001|D002,0,0
R00000121,V00000121,2025-01-02T16:38:37+09:00,qr,C00000031,12620,731,0.08,TH00000003,951,12840,D001|D002,0,0
R00000122,V00000122,2025-01-02T19:23:53+09:00,card,C00000032,12710,736,0.08,TH00000003,958,12932,D001|D002,0,0
R00000123,V00000123,2025-01-02T23:00:00+09:00,qr,,10150,608,0.08,TH00000003,763,10305,D001|D002,0,0
R00000124,V00000124,2025-01-02T09:48:36+09:00,cash,,11350,668,0.08,TH00000003,855,11537,D001|D002,0,0
R00000125,V00000125,2025-01-02T14:30:12+09:00,card,,1710,186,0.08,TH00000003,122,1646,D001|D002,0,0
R00000126,V00000126,2025-01-02T19:57:52+09:00,card,,3390,270,0.08,TH00000003,250,3370,D001|D002,0,0
R00000127,V00000127,2025-01-02T12:27:23+09:00,card,C00000033,8810,541,0.08,TH00000003,662,8931,D001|D002,0,0
R00000128,V00000128,2025-01-02T21:50:23+09:00,card,C00000034,1360,168,0.08,TH00000003,95,1287,D001|D002,0,0
R00000129,V00000129,2025-01-02T15:48:33+09:00,qr,,6680,434,0.08,TH00000003,500,6746,D001|D002,0,0
R00000130,V00000130,2025-01-02T11:21:35+09:00,qr,,5640,382,0.08,TH00000003,421,5679,D001|D002,0,0
R00000131,V00000131,2025-01-02T21:16:16+09:00,cash,C00000035,4440,322,0.08,TH00000003,329,4447,D001|D002,0,0
R00000132,V00000132,2025-01-02T22:40:17+09:00,card,,6520,426,0.08,TH00000003,488,6582,D001|D002,0,0
R00000133,V00000133,2025-01-02T08:15:08+09:00,cash,C00000036,6100,405,0.08,TH00000003,456,6151,D001|D002,0,0
R00000134,V00000134,2025-01-02T11:29:50+09:00,qr,C00000037,9600,580,0.08,TH00000003,722,9742,D001|D002,0,0
R00000135,V00000135,2025-01-02T12:05:31+09:00,cash,,2400,220,0.08,TH00000003,174,2354,D001|D002,0,0
R00000136,V00000136,2025-01-02T15:03:25+09:00,cash,,7950,498,0.08,TH00000003,596,8048,D001|D002,0,0
R00000137,V00000137,2025-01-02T23:00:00+09:00,qr,,9230,562,0.08,TH00000003,693,9361,D001|D002,0,0
R00000138,V00000138,2025-01-02T09:27:56+09:00,qr,,8640,532,0.08,TH00000003,649,8757,D001|D002,0,0
R00000139,V00000139,2025-01-02T12:30:05+09:00,card,,10880,644,0.08,TH00000003,819,11055,D001|D002,0,0
R00000140,V00000140,2025-01-02T21:34:53+09:00,cash,C00000038,2630,232,0.08,TH00000003,192,2590,D001|D002,0,0
R00000141,V00000141,2025-01-02T16:41:25+09:00,qr,,6430,422,0.08,TH00000003,481,6489,D001|D002,0,0
R00000142,V00000142,2025-01-02T10:01:02+09:00,cash,C00000039,13620,781,0.08,TH00000003,1027,13866,D001|D002,0,0
R00000143,V00000143,2025-01-02T11:14:28+09:00,qr,,2080,204,0.08,TH00000003,150,2026,D001|D002,0,0
R00000144,V00000144,2025-01-02T19:33:03+09:00,cash,,1170,159,0.08,TH00000003,81,1092,D001|D002,0,0
R00000145,V00000145,2025-01-02T08:06:22+09:00,qr,C00000040,5800,390,0.08,TH00000003,433,5843,D001|D002,0,0
R00000146,V00000146,2025-01-03T13:44:05+09:00,card,,4420,321,0.08,TH00000003,328,4427,D001|D002,0,0
R00000147,V00000147,2025-01-03T10:14:47+09:00,qr,C00000041,5200,360,0.08,TH00000003,387,5227,D001|D002,0,0
R00000148,V00000148,2025-01-03T19:28:46+09:00,card,C00000042,11220,661,0.08,TH00000003,845,11404,D001|D002,0,0
R00000149,V00000149,2025-01-03T22:05:29+09:00,card,,8180,509,0.08,TH00000003,614,8285,D001|D002,0,0
R00000150,V00000150,2025-01-03T11:02:13+09:00,card,,8280,514,0.08,TH00000003,621,8387,D001|D002,0,0
R00000151,V00000151,2025-01-03T18:47:44+09:00,cash,,6510,426,0.08,TH00000003,487,6571,D001|D002,0,0
R00000152,V00000152,2025-01-03T21:10:49+09:00,cash,C00000043,2660,233,0.08,TH00000003,194,2621,D001|D002,0,0
R00000153,V00000153,2025-01-03T10:05:44+09:00,qr,,14530,827,0.08,TH00000003,1096,14799,D001|D002,0,0
R00000154,V00000154,2025-01-03T09:59:53+09:00,cash,,13670,784,0.08,TH00000003,1031,13917,D001|D002,0,0
R00000155,V00000155,2025-01-03T11:55:36+09:00,qr,,6400,420,0.08,TH00000003,478,6458,D001|D002,0,0
R00000156,V00000156,2025-01-03T17:03:12+09:00,qr,C00000044,4590,330,0.08,TH00000003,341,4601,D001|D002,0,0
R00000157,V00000157,2025-01-03T09:47:40+09:00,qr,C00000045,13910,796,0.08,TH00000003,1049,14163,D001|D002,0,0
R00000158,V00000158,2025-01-03T13:31:31+09:00,cash,C00000046,15840,892,0.08,TH00000003,1196,16144,D001|D002,0,0
R00000159,V00000159,2025-01-03T18:35:52+09:00,cash,C00000047,3900,295,0.08,TH00000003,288,3893,D001|D002,0,0
R00000160,V00000160,2025-01-03T10:04:14+09:00,card,C00000048,10440,622,0.08,TH00000003,785,10603,D001|D002,0,0
R00000161,V00000161,2025-01-03T15:45:20+09:00,card,,7450,473,0.08,TH00000003,558,7535,D001|D002,0,0
R00000162,V00000162,2025-01-03T12:17:06+09:00,qr,,6610,431,0.08,TH00000003,494,6673,D001|D002,0,0
R00000163,V00000163,2025-01-03T19:56:19+09:00,qr,,4130,307,0.08,TH00000003,306,4129,D001|D002,0,0
R00000164,V00000164,2025-01-03T11:10:52+09:00,qr,C00000049,4560,328,0.08,TH00000003,339,4571,D001|D002,0,0
R00000165,V00000165,2025-01-03T18:37:29+09:00,qr,,12180,709,0.08,TH00000003,918,12389,D001|D002,0,0
R00000166,V00000166,2025-01-03T19:35:30+09:00,cash,,8240,512,0.08,TH00000003,618,8346,D001|D002,0,0
R00000167,V00000167,2025-01-03T14:36:17+09:00,cash,,8950,548,0.08,TH00000003,672,9074,D001|D002,0,0
R00000168,V00000168,2025-01-03T15:05:41+09:00,qr,C00000050,11800,690,0.08,TH00000003,889,11999,D001|D002,0,0
R00000169,V00000169,2025-01-03T10:39:55+09:00,cash,,15470,874,0.08,TH00000003,1168,15764,D001|D002,0,0
R00000170,V00000170,2025-01-03T16:02:37+09:00,qr,,2040,202,0.08,TH00000003,147,1985,D001|D002,0,0
R00000171,V00000171,2025-01-03T15:17:07+09:00,cash,,10080,604,0.08,TH00000003,758,10234,D001|D002,0,0
R00000172,V00000172,2025-01-03T18:00:38+09:00,qr,C00000051,5580,379,0.08,TH00000003,416,5617,D001|D002,0,0
R00000173,V00000173,2025-01-03T15:05:41+09:00,qr,,13070,754,0.08,TH00000003,985,13301,D001|D002,0,0
R00000174,V00000174,2025-01-03T08:45:33+09:00,card,C00000052,3500,275,0.08,TH00000003,258,3483,D001|D002,0,0
R00000175,V00000175,2025-01-03T18:52:40+09:00,card,C00000053,2760,238,0.08,TH00000003,202,2724,D001|D002,0,0
R00000176,V00000176,2025-01-03T17:47:26+09:00,qr,,11410,671,0.08,TH00000003,859,11598,D001|D002,0,0
R00000177,V00000177,2025-01-04T17:26:22+09:00,cash,C00000054,5280,364,0.08,TH00000003,393,5309,D001|D002,0,0
R00000178,V00000178,2025-01-04T12:06:14+09:00,cash,C00000055,8700,535,0.08,TH00000003,653,8818,D001|D002,0,0
R00000179,V00000179,2025-01-04T18:10:01+09:00,card,C00000056,16040,902,0.08,TH00000003,1211,16349,D001|D002,0,0
R00000180,V00000180,2025-01-04T16:11:45+09:00,cash,,6710,436,0.08,TH00000003,502,6776,D001|D002,0,0
R00000181,V00000181,2025-01-04T10:21:45+09:00,card,,1700,185,0.08,TH00000003,121,1636,D001|D002,0,0
R00000182,V00000182,2025-01-04T12:32:24+09:00,cash,,6780,439,0.08,TH00000003,507,6848,D001|D002,0,0
R00000183,V00000183,2025-01-04T16:00:52+09:00,qr,,7680,484,0.08,TH00000003,576,7772,D001|D002,0,0
R00000184,V00000184,2025-01-04T13:21:36+09:00,qr,,3470,274,0.08,TH00000003,256,3452,D001|D002,0,0
R00000185,V00000185,2025-01-04T14:48:46+09:00,qr,C00000057,12810,741,0.08,TH00000003,966,13035,D001|D002,0,0
R00000186,V00000186,2025-01-04T13:21:22+09:00,card,C00000058,4880,344,0.08,TH00000003,363,4899,D001|D002,0,0
R00000187,V00000187,2025-01-04T12:12:08+09:00,cash,,11120,656,0.08,TH00000003,837,11301,D001|D002,0,0
R00000188,V00000188,2025-01-04T21:20:59+09:00,cash,,10440,622,0.08,TH00000003,785,10603,D001|D002,0,0
R00000189,V00000189,2025-01-04T19:06:27+09:00,qr,,6990,450,0.08,TH00000003,523,7063,D001|D002,0,0
R00000190,V00000190,2025-01-04T22:21:04+09:00,qr,,11820,691,0.08,TH00000003,890,12019,D001|D002,0,0
R00000191,V00000191,2025-01-04T14:02:45+09:00,cash,,14720,836,0.08,TH00000003,1111,14995,D001|D002,0,0
R00000192,V00000192,2025-01-04T15:09:58+09:00,card,,7500,475,0.08,TH00000003,562,7587,D001|D002,0,0
R00000193,V00000193,2025-01-04T20:45:02+09:00,cash,C00000059,3640,282,0.08,TH00000003,269,3627,D001|D002,0,0
R00000194,V00000194,2025-01-04T12:11:36+09:00,card,,11730,687,0.08,TH00000003,883,11926,D001|D002,0,0
R00000195,V00000195,2025-01-04T08:27:38+09:00,cash,,1130,157,0.08,TH00000003,78,1051,D001|D002,0,0
R00000196,V00000196,2025-01-04T19:57:58+09:00,cash,,5680,384,0.08,TH00000003,424,5720,D001|D002,0,0
R00000197,V00000197,2025-01-04T16:28:46+09:00,card,,2860,243,0.08,TH00000003,209,2826,D001|D002,0,0
R00000198,V00000198,2025-01-04T19:53:43+09:00,cash,,910,146,0.08,TH00000003,61,825,D001|D002,0,0
R00000199,V00000199,2025-01-04T11:26:19+09:00,qr,,8480,524,0.08,TH00000003,636,8592,D001|D002,0,0
R00000200,V00000200,2025-01-04T16:34:14+09:00,card,,5220,361,0.08,TH00000003,389,5248,D001|D002,0,0
R00000201,V00000201,2025-01-04T11:30:15+09:00,card,,3050,253,0.08,TH00000003,224,3021,D001|D002,0,0
R00000202,V00000202,2025-01-04T21:18:06+09:00,card,,7540,477,0.08,TH00000003,565,7628,D001|D002,0,0
R00000203,V00000203,2025-01-04T17:40:16+09:00,qr,,1680,184,0.08,TH00000003,120,1616,D001|D002,0,0
R00000204,V00000204,2025-01-04T21:31:05+09:00,qr,,3170,259,0.08,TH00000003,233,3144,D001|D002,0,0
R00000205,V00000205,2025-01-04T22:36:12+09:00,card,,7880,494,0.08,TH00000003,591,7977,D001|D002,0,0
R00000206,V00000206,2025-01-04T20:47:19+09:00,card,,15080,854,0.08,TH00000003,1138,15364,D001|D002,0,0
R00000207,V00000207,2025-01-04T20:53:40+09:00,cash,,14560,828,0.08,TH00000003,1099,14831,D001|D002,0,0
R00000208,V00000208,2025-01-04T20:45:04+09:00,card,,6920,446,0.08,TH00000003,518,6992,D001|D002,0,0
R00000209,V00000209,2025-01-04T14:33:11+09:00,card,,10770,639,0.08,TH00000003,810,10941,D001|D002,0,0
R00000210,V00000210,2025-01-04T12:19:26+09:00,card,,9570,579,0.08,TH00000003,719,9710,D001|D002,0,0
R00000211,V00000211,2025-01-04T22:39:23+09:00,card,,8270,514,0.08,TH00000003,620,8376,D001|D002,0,0
R00000212,V00000212,2025-01-04T17:57:42+09:00,cash,,2530,227,0.08,TH00000003,184,2487,D001|D002,0,0
R00000213,V00000213,2025-01-04T18:58:20+09:00,card,,2940,247,0.08,TH00000003,215,2908,D001|D002,0,0
R00000214,V00000214,2025-01-05T09:23:45+09:00,card,C00000060,4700,335,0.08,TH00000003,349,4714,D001|D002,0,0
R00000215,V00000215,2025-01-05T09:36:33+09:00,card,,9210,561,0.08,TH00000003,692,9341,D001|D002,0,0
R00000216,V00000216,2025-01-05T21:30:00+09:00,qr,C00000061,9580,579,0.08,TH00000003,720,9721,D001|D002,0,0
R00000217,V00000217,2025-01-05T19:10:58+09:00,qr,,3890,295,0.08,TH00000003,288,3883,D001|D002,0,0
R00000218,V00000218,2025-01-05T15:57:49+09:00,cash,,11390,670,0.08,TH00000003,858,11578,D001|D002,0,0
R00000219,V00000219,2025-01-05T20:44:08+09:00,qr,,10160,608,0.08,TH00000003,764,10316,D001|D002,0,0
R00000220,V00000220,2025-01-05T17:16:08+09:00,cash,C00000062,10560,628,0.08,TH00000003,795,10727,D001|D002,0,0
R00000221,V00000221,2025-01-05T22:03:04+09:00,qr,,8970,549,0.08,TH00000003,674,9095,D001|D002,0,0
R00000222,V00000222,2025-01-05T21:37:15+09:00,qr,,5570,379,0.08,TH00000003,415,5606,D001|D002,0,0
R00000223,V00000223,2025-01-05T15:59:54+09:00,qr,,7950,498,0.08,TH00000003,596,8048,D001|D002,0,0
