order_id,visit_id,ordered_at,channel,order_seq_in_visit
O00000199,V00000099,2025-01-01T19:58:08+09:00,tablet,1
O00000200,V00000100,2025-01-01T12:02:07+09:00,tablet,1
O00000201,V00000101,2025-01-01T21:03:04+09:00,tablet,1
O00000202,V00000102,2025-01-01T09:31:18+09:00,tablet,1
O00000203,V00000103,2025-01-01T17:23:47+09:00,tablet,1
O00000204,V00000104,2025-01-01T19:17:26+09:00,tablet,1
O00000205,V00000104,2025-01-01T19:55:51+09:00,tablet,2
O00000206,V00000104,2025-01-01T20:27:16+09:00,tablet,3
O00000207,V00000105,2025-01-01T08:31:33+09:00,tablet,1
O00000208,V00000106,2025-01-01T16:25:47+09:00,tablet,1
O00000209,V00000107,2025-01-01T12:45:48+09:00,tablet,1
O00000210,V00000108,2025-01-01T09:44:35+09:00,tablet,1
O00000211,V00000109,2025-01-01T08:56:47+09:00,tablet,1
O00000212,V00000109,2025-01-01T09:27:56+09:00,tablet,2
O00000213,V00000109,2025-01-01T09:40:10+09:00,tablet,3
O00000214,V00000110,2025-01-01T12:01:39+09:00,tablet,1
O00000215,V00000110,2025-01-01T12:13:12+09:00,tablet,2
O00000216,V00000110,2025-01-01T12:38:54+09:00,tablet,3
O00000217,V00000111,2025-01-01T08:20:33+09:00,tablet,1
O00000218,V00000112,2025-01-01T08:51:06+09:00,tablet,1
O00000219,V00000113,2025-01-01T09:12:49+09:00,tablet,1
O00000220,V00000114,2025-01-01T13:51:46+09:00,tablet,1
O00000221,V00000114,2025-01-01T14:02:00+09:00,tablet,2
O00000222,V00000114,2025-01-01T15:29:10+09:00,tablet,3
O00000223,V00000115,2025-01-02T08:39:14+09:00,tablet,1
O00000224,V00000115,2025-01-02T10:08:37+09:00,tablet,2
O00000225,V00000116,2025-01-02T18:31:55+09:00,tablet,1
O00000226,V00000116,2025-01-02T19:03:15+09:00,tablet,2
O00000227,V00000117,2025-01-02T09:35:10+09:00,tablet,1
O00000228,V00000117,2025-01-02T09:45:38+09:00,tablet,2
O00000229,V00000118,2025-01-02T13:49:20+09:00,tablet,1
O00000230,V00000118,2025-01-02T14:13:06+09:00,tablet,2
O00000231,V00000118,2025-01-02T14:35:50+09:00,tablet,3
O00000232,V00000119,2025-01-02T13:20:29+09:00,tablet,1
O00000233,V00000119,2025-01-02T13:28:20+09:00,tablet,2
O00000234,V00000119,2025-01-02T13:43:57+09:00,tablet,3
O00000235,V00000120,2025-01-02T17:58:51+09:00,tablet,1
O00000236,V00000120,2025-01-02T18:33:10+09:00,tablet,2
O00000237,V00000121,2025-01-02T14:42:09+09:00,tablet,1
O00000238,V00000121,2025-01-02T16:06:11+09:00,tablet,2
O00000239,V00000122,2025-01-02T18:01:36+09:00,tablet,1
O00000240,V00000122,2025-01-02T18:24:31+09:00,tablet,2
O00000241,V00000122,2025-01-02T18:56:45+09:00,tablet,3
O00000242,V00000123,2025-01-02T21:28:00+09:00,tablet,1
O00000243,V00000123,2025-01-02T22:58:33+09:00,tablet,2
O00000244,V00000124,2025-01-02T09:06:11+09:00,tablet,1
O00000245,V00000124,2025-01-02T09:09:58+09:00,tablet,2
O00000246,V00000124,2025-01-02T09:28:47+09:00,tablet,3
O00000247,V00000125,2025-01-02T14:09:24+09:00,tablet,1
O00000248,V00000126,2025-01-02T19:34:26+09:00,tablet,1
O00000249,V00000127,2025-01-02T11:21:41+09:00,tablet,1
O00000250,V00000127,2025-01-02T11:54:23+09:00,tablet,2
O00000251,V00000128,2025-01-02T21:11:51+09:00,tablet,1
O00000252,V00000129,2025-01-02T14:30:04+09:00,tablet,1
O00000253,V00000129,2025-01-02T15:20:07+09:00,tablet,2
O00000254,V00000130,2025-01-02T10:37:13+09:00,tablet,1
O00000255,V00000130,2025-01-02T10:59:43+09:00,tablet,2
O00000256,V00000131,2025-01-02T20:51:53+09:00,tablet,1
O00000257,V00000132,2025-01-02T21:25:05+09:00,tablet,1
O00000258,V00000132,2025-01-02T22:16:56+09:00,tablet,2
O00000259,V00000132,2025-01-02T22:21:45+09:00,tablet,3
O00000260,V00000133,2025-01-02T07:35:05+09:00,tablet,1
O00000261,V00000133,2025-01-02T07:49:46+09:00,tablet,2
O00000262,V00000134,2025-01-02T10:27:16+09:00,tablet,1
O00000263,V00000134,2025-01-02T11:05:08+09:00,tablet,2
O00000264,V00000135,2025-01-02T11:46:30+09:00,tablet,1
O00000265,V00000136,2025-01-02T13:57:17+09:00,tablet,1
O00000266,V00000136,2025-01-02T14:08:12+09:00,tablet,2
O00000267,V00000136,2025-01-02T14:51:37+09:00,tablet,3
O00000268,V00000137,2025-01-02T21:27:17+09:00,tablet,1
O00000269,V00000137,2025-01-02T22:05:38+09:00,tablet,2
O00000270,V00000137,2025-01-02T22:39:26+09:00,tablet,3
O00000271,V00000138,2025-01-02T08:50:48+09:00,tablet,1
O00000272,V00000138,2025-01-02T09:01:44+09:00,tablet,2
O00000273,V00000139,2025-01-02T11:35:24+09:00,tablet,1
O00000274,V00000139,2025-01-02T11:48:10+09:00,tablet,2
O00000275,V00000139,2025-01-02T11:57:37+09:00,tablet,3
O00000276,V00000140,2025-01-02T20:37:58+09:00,tablet,1
O00000277,V00000140,2025-01-02T21:15:31+09:00,tablet,2
O00000278,V00000141,2025-01-02T15:26:23+09:00,tablet,1
O00000279,V00000141,2025-01-02T16:10:41+09:00,tablet,2
O00000280,V00000142,2025-01-02T09:10:34+09:00,tablet,1
O00000281,V00000142,2025-01-02T09:14:40+09:00,tablet,2
O00000282,V00000142,2025-01-02T09:32:20+09:00,tablet,3
O00000283,V00000143,2025-01-02T10:50:25+09:00,tablet,1
O00000284,V00000144,2025-01-02T19:04:29+09:00,tablet,1
O00000285,V00000145,2025-01-02T07:01:39+09:00,tablet,1
O00000286,V00000145,2025-01-02T07:40:38+09:00,tablet,2
O00000287,V00000146,2025-01-03T12:25:25+09:00,tablet,1
O00000288,V00000146,2025-01-03T13:00:34+09:00,tablet,2
O00000289,V00000146,2025-01-03T13:18:38+09:00,tablet,3
O00000290,V00000147,2025-01-03T08:59:10+09:00,tablet,1
O00000291,V00000147,2025-01-03T09:44:40+09:00,tablet,2
O00000292,V00000148,2025-01-03T18:16:02+09:00,tablet,1
O00000293,V00000148,2025-01-03T18:38:05+09:00,tablet,2
O00000294,V00000148,2025-01-03T19:01:44+09:00,tablet,3
O00000295,V00000149,2025-01-03T19:58:49+09:00,tablet,1
O00000296,V00000149,2025-01-03T21:40:15+09:00,tablet,2
O00000297,V00000150,2025-01-03T10:34:07+09:00,tablet,1
O00000298,V00000151,2025-01-03T17:21:08+09:00,tablet,1
O00000299,V00000151,2025-01-03T18:19:59+09:00,tablet,2
O00000300,V00000152,2025-01-03T20:38:05+09:00,tablet,1
O00000301,V00000153,2025-01-03T08:49:07+09:00,tablet,1
O00000302,V00000153,2025-01-03T09:13:15+09:00,tablet,2
O00000303,V00000153,2025-01-03T09:35:32+09:00,tablet,3
O00000304,V00000154,2025-01-03T08:19:14+09:00,tablet,1
O00000305,V00000154,2025-01-03T08:21:36+09:00,tablet,2
O00000306,V00000154,2025-01-03T09:23:05+09:00,tablet,3
O00000307,V00000155,2025-01-03T09:40:45+09:00,tablet,1
O00000308,V00000155,2025-01-03T11:27:59+09:00,tablet,2
O00000309,V00000155,2025-01-03T11:28:25+09:00,tablet,3
O00000310,V00000156,2025-01-03T16:39:33+09:00,tablet,1
O00000311,V00000156,2025-01-03T16:44:24+09:00,tablet,2
O00000312,V00000157,2025-01-03T07:49:01+09:00,tablet,1
O00000313,V00000157,2025-01-03T09:11:34+09:00,tablet,2
O00000314,V00000157,2025-01-03T09:13:14+09:00,tablet,3
O00000315,V00000158,2025-01-03T12:11:32+09:00,tablet,1
O00000316,V00000158,2025-01-03T12:57:24+09:00,tablet,2
O00000317,V00000158,2025-01-03T13:00:12+09:00,tablet,3
O00000318,V00000159,2025-01-03T17:49:33+09:00,tablet,1
O00000319,V00000159,2025-01-03T18:04:25+09:00,tablet,2
O00000320,V00000160,2025-01-03T08:44:28+09:00,tablet,1
O00000321,V00000160,2025-01-03T09:17:27+09:00,tablet,2
O00000322,V00000160,2025-01-03T09:26:49+09:00,tablet,3
O00000323,V00000161,2025-01-03T15:13:25+09:00,tablet,1
O00000324,V00000161,2025-01-03T15:19:03+09:00,tablet,2
O00000325,V00000162,2025-01-03T11:02:28+09:00,tablet,1
O00000326,V00000162,2025-01-03T11:55:49+09:00,tablet,2
O00000327,V00000163,2025-01-03T19:06:30+09:00,tablet,1
O00000328,V00000163,2025-01-03T19:20:56+09:00,tablet,2
O00000329,V00000164,2025-01-03T10:34:58+09:00,tablet,1
O00000330,V00000165,2025-01-03T17:35:25+09:00,tablet,1
O00000331,V00000165,2025-01-03T17:45:05+09:00,tablet,2
O00000332,V00000165,2025-01-03T18:02:43+09:00,tablet,3
O00000333,V00000166,2025-01-03T18:51:54+09:00,tablet,1
O00000334,V00000166,2025-01-03T18:59:29+09:00,tablet,2
O00000335,V00000167,2025-01-03T13:29:25+09:00,tablet,1
O00000336,V00000167,2025-01-03T13:56:44+09:00,tablet,2
O00000337,V00000167,2025-01-03T14:06:13+09:00,tablet,3
O00000338,V00000168,2025-01-03T13:52:21+09:00,tablet,1
O00000339,V00000168,2025-01-03T14:04:51+09:00,tablet,2
O00000340,V00000168,2025-01-03T14:39:30+09:00,tablet,3
O00000341,V00000169,2025-01-03T09:09:31+09:00,tablet,1
O00000342,V00000169,2025-01-03T09:59:39+09:00,tablet,2
O00000343,V00000169,2025-01-03T10:26:14+09:00,tablet,3
O00000344,V00000170,2025-01-03T15:28:19+09:00,tablet,1
O00000345,V00000171,2025-01-03T13:19:55+09:00,tablet,1
O00000346,V00000171,2025-01-03T14:32:20+09:00,tablet,2
O00000347,V00000171,2025-01-03T14:44:00+09:00,tablet,3
O00000348,V00000172,2025-01-03T17:23:34+09:00,tablet,1
O00000349,V00000172,2025-01-03T17:32:45+09:00,tablet,2
O00000350,V00000173,2025-01-03T13:24:11+09:00,tablet,1
O00000351,V00000173,2025-01-03T13:42:23+09:00,tablet,2
O00000352,V00000173,2025-01-03T14:38:44+09:00,tablet,3
O00000353,V00000174,2025-01-03T08:20:23+09:00,tablet,1
O00000354,V00000175,2025-01-03T18:35:26+09:00,tablet,1
O00000355,V00000176,2025-01-03T16:09:56+09:00,tablet,1
O00000356,V00000176,2025-01-03T17:18:15+09:00,tablet,2
O00000357,V00000177,2025-01-04T17:09:01+09:00,tablet,1
O00000358,V00000178,2025-01-04T10:53:55+09:00,tablet,1
O00000359,V00000178,2025-01-04T11:29:09+09:00,tablet,2
O00000360,V00000179,2025-01-04T16:33:50+09:00,tablet,1
O00000361,V00000179,2025-01-04T16:43:23+09:00,tablet,2
O00000362,V00000179,2025-01-04T17:48:53+09:00,tablet,3
O00000363,V00000180,2025-01-04T14:42:35+09:00,tablet,1
O00000364,V00000180,2025-01-04T15:45:41+09:00,tablet,2
O00000365,V00000181,2025-01-04T09:11:24+09:00,tablet,1
O00000366,V00000181,2025-01-04T09:51:56+09:00,tablet,2
O00000367,V00000182,2025-01-04T10:48:13+09:00,tablet,1
O00000368,V00000182,2025-01-04T11:24:57+09:00,tablet,2
O00000369,V00000182,2025-01-04T12:06:03+09:00,tablet,3
O00000370,V00000183,2025-01-04T15:20:58+09:00,tablet,1
O00000371,V00000183,2025-01-04T15:33:30+09:00,tablet,2
O00000372,V00000184,2025-01-04T12:30:08+09:00,tablet,1
O00000373,V00000184,2025-01-04T12:46:42+09:00,tablet,2
O00000374,V00000184,2025-01-04T12:48:49+09:00,tablet,3
O00000375,V00000185,2025-01-04T13:05:15+09:00,tablet,1
O00000376,V00000185,2025-01-04T13:53:01+09:00,tablet,2
O00000377,V00000185,2025-01-04T14:23:21+09:00,tablet,3
O00000378,V00000186,2025-01-04T12:45:15+09:00,tablet,1
O00000379,V00000186,2025-01-04T12:55:20+09:00,tablet,2
O00000380,V00000187,2025-01-04T11:03:25+09:00,tablet,1
O00000381,V00000187,2025-01-04T11:24:46+09:00,tablet,2
O00000382,V00000187,2025-01-04T11:45:02+09:00,tablet,3
O00000383,V00000188,2025-01-04T19:40:07+09:00,tablet,1
O00000384,V00000188,2025-01-04T20:11:20+09:00,tablet,2
O00000385,V00000188,2025-01-04T20:54:34+09:00,tablet,3
O00000386,V00000189,2025-01-04T18:03:55+09:00,tablet,1
O00000387,V00000189,2025-01-04T18:36:30+09:00,tablet,2
O00000388,V00000190,2025-01-04T21:00:36+09:00,tablet,1
O00000389,V00000190,2025-01-04T21:34:55+09:00,tablet,2
O00000390,V00000190,2025-01-04T21:48:14+09:00,tablet,3
O00000391,V00000191,2025-01-04T12:54:53+09:00,tablet,1
O00000392,V00000191,2025-01-04T12:57:51+09:00,tablet,2
O00000393,V00000191,2025-01-04T13:34:47+09:00,tablet,3
O00000394,V00000192,2025-01-04T13:22:30+09:00,tablet,1
O00000395,V00000192,2025-01-04T14:34:26+09:00,tablet,2
O00000396,V00000193,2025-01-04T19:38:20+09:00,tablet,1
O00000397,V00000193,2025-01-04T19:56:22+09:00,tablet,2
O00000398,V00000193,2025-01-04T20:23:33+09:00,tablet,3
O00000399,V00000194,2025-01-04T10:40:26+09:00,tablet,1
O00000400,V00000194,2025-01-04T11:37:53+09:00,tablet,2
O00000401,V00000194,2025-01-04T11:53:28+09:00,tablet,3
O00000402,V00000195,2025-01-04T07:56:46+09:00,tablet,1
O00000403,V00000196,2025-01-04T18:56:44+09:00,tablet,1
O00000404,V00000196,2025-01-04T19:35:25+09:00,tablet,2
O00000405,V00000197,2025-01-04T15:56:43+09:00,tablet,1
O00000406,V00000198,2025-01-04T18:56:20+09:00,tablet,1
O00000407,V00000198,2025-01-04T19:31:10+09:00,tablet,2
O00000408,V00000199,2025-01-04T10:24:40+09:00,tablet,1
O00000409,V00000199,2025-01-04T10:56:33+09:00,tablet,2
O00000410,V00000200,2025-01-04T15:17:03+09:00,tablet,1
O00000411,V00000200,2025-01-04T16:09:20+09:00,tablet,2
O00000412,V00000201,2025-01-04T10:37:35+09:00,tablet,1
O00000413,V00000201,2025-01-04T11:00:22+09:00,tablet,2
O00000414,V00000202,2025-01-04T19:17:13+09:00,tablet,1
O00000415,V00000202,2025-01-04T20:01:41+09:00,tablet,2
O00000416,V00000202,2025-01-04T20:45:35+09:00,tablet,3
O00000417,V00000203,2025-01-04T16:34:50+09:00,tablet,1
O00000418,V00000203,2025-01-04T17:13:37+09:00,tablet,2
O00000419,V00000204,2025-01-04T21:06:44+09:00,tablet,1
O00000420,V00000205,2025-01-04T21:23:34+09:00,tablet,1
O00000421,V00000205,2025-01-04T22:07:48+09:00,tablet,2
O00000422,V00000206,2025-01-04T20:08:05+09:00,tablet,1
