order_item_id,order_id,menu_item_id,qty,unit_price_yen_at_order,line_subtotal_yen,status,served_at,cook_time_sec,is_kids_item
OI00000097,O00000040,M104,3,800,2400,served,2026-02-10T16:53:22+09:00,775,0
OI00000098,O00000040,M004,3,980,2940,served,2026-02-10T16:55:38+09:00,911,0
OI00000099,O00000040,M003,1,520,520,served,2026-02-10T16:56:43+09:00,976,0
OI00000100,O00000041,M004,3,980,2940,served,2026-02-10T18:13:51+09:00,1190,0
OI00000101,O00000041,M003,1,520,520,served,2026-02-10T18:04:19+09:00,618,0
OI00000102,O00000041,M005,1,390,390,served,2026-02-10T18:05:05+09:00,664,1
OI00000103,O00000042,M005,1,390,390,served,2026-02-10T11:31:56+09:00,646,1
OI00000104,O00000042,M203,3,520,1560,served,2026-02-10T11:36:28+09:00,918,0
OI00000105,O00000042,M005,2,390,780,served,2026-02-10T11:25:33+09:00,263,1
OI00000106,O00000043,M003,1,520,520,served,2026-02-10T12:00:37+09:00,1152,0
OI00000107,O00000043,M003,2,520,1040,served,2026-02-10T11:58:43+09:00,1038,0
OI00000108,O00000043,M006,1,450,450,served,2026-02-10T12:00:10+09:00,1125,1
OI00000109,O00000043,M002,3,780,2340,served,2026-02-10T11:49:17+09:00,472,0
OI00000110,O00000044,M003,1,520,520,served,2026-02-10T11:59:34+09:00,911,0
OI00000111,O00000045,M003,3,520,1560,served,2026-02-10T18:21:09+09:00,331,0
OI00000112,O00000045,M004,1,980,980,served,2026-02-10T18:30:14+09:00,876,0
OI00000113,O00000045,M001,1,680,680,served,2026-02-10T18:26:47+09:00,669,0
OI00000114,O00000046,M001,2,680,1360,served,2026-02-10T15:49:33+09:00,840,0
OI00000115,O00000046,M001,1,680,680,served,2026-02-10T15:45:38+09:00,605,0
OI00000116,O00000047,M104,2,800,1600,served,2026-02-10T16:08:29+09:00,808,0
OI00000117,O00000048,M002,3,780,2340,served,2026-02-10T17:41:45+09:00,826,0
OI00000118,O00000048,M006,2,450,900,served,2026-02-10T17:38:37+09:00,638,1
OI00000119,O00000049,M003,2,520,1040,served,2026-02-10T14:29:02+09:00,1138,0
OI00000120,O00000049,M005,1,390,390,served,2026-02-10T14:24:38+09:00,874,1
OI00000121,O00000050,M001,3,680,2040,served,2026-02-10T14:45:44+09:00,604,0
OI00000122,O00000051,M002,1,780,780,served,2026-02-10T17:14:19+09:00,845,0
OI00000123,O00000052,M006,3,450,1350,served,2026-02-10T19:13:48+09:00,927,1
OI00000124,O00000052,M203,2,520,1040,served,2026-02-10T19:14:05+09:00,944,0
OI00000125,O00000052,M003,2,520,1040,served,2026-02-10T19:17:57+09:00,1176,0
OI00000126,O00000052,M002,1,780,780,served,2026-02-10T19:06:27+09:00,486,0
OI00000127,O00000053,M104,1,800,800,served,2026-02-10T19:23:43+09:00,480,0
OI00000128,O00000054,M104,2,800,1600,served,2026-02-10T08:37:11+09:00,1091,0
OI00000129,O00000055,M001,1,680,680,served,2026-02-10T10:02:01+09:00,962,0
OI00000130,O00000055,M203,1,520,520,served,2026-02-10T10:01:35+09:00,936,0
OI00000131,O00000055,M004,2,980,1960,served,2026-02-10T10:03:13+09:00,1034,0
OI00000132,O00000055,M003,1,520,520,served,2026-02-10T10:04:00+09:00,1081,0
OI00000133,O00000056,M002,1,780,780,served,2026-02-10T11:14:51+09:00,1083,0
OI00000134,O00000056,M004,2,980,1960,served,2026-02-10T11:11:10+09:00,862,0
OI00000135,O00000056,M005,3,390,1170,served,2026-02-10T11:00:50+09:00,242,1
OI00000136,O00000056,M001,2,680,1360,served,2026-02-10T11:06:14+09:00,566,0
OI00000137,O00000057,M003,1,520,520,served,2026-02-10T16:15:09+09:00,862,0
OI00000138,O00000057,M005,1,390,390,served,2026-02-10T16:08:18+09:00,451,1
OI00000139,O00000057,M006,3,450,1350,served,2026-02-10T16:19:38+09:00,1131,1
OI00000140,O00000058,M002,1,780,780,served,2026-02-10T16:28:25+09:00,814,0
OI00000141,O00000059,M004,2,980,1960,served,2026-02-10T16:49:37+09:00,448,0
OI00000142,O00000059,M003,2,520,1040,served,2026-02-10T17:01:26+09:00,1157,0
OI00000143,O00000060,M004,3,980,2940,served,2026-02-10T16:07:40+09:00,1194,0
OI00000144,O00000060,M002,3,780,2340,served,2026-02-10T16:04:57+09:00,1031,0
OI00000145,O00000061,M002,2,780,1560,served,2026-02-11T16:44:52+09:00,428,0
OI00000146,O00000061,M104,3,800,2400,served,2026-02-11T16:43:58+09:00,374,0
OI00000147,O00000062,M002,2,780,1560,served,2026-02-11T16:53:24+09:00,750,0
OI00000148,O00000062,M005,2,390,780,served,2026-02-11T16:46:47+09:00,353,1
OI00000149,O00000062,M002,1,780,780,served,2026-02-11T17:00:01+09:00,1147,0
OI00000150,O00000062,M003,1,520,520,served,2026-02-11T16:57:50+09:00,1016,0
OI00000151,O00000063,M001,1,680,680,served,2026-02-11T18:25:31+09:00,393,0
OI00000152,O00000063,M001,2,680,1360,served,2026-02-11T18:27:11+09:00,493,0
OI00000153,O00000063,M002,3,780,2340,served,2026-02-11T18:32:40+09:00,822,0
OI00000154,O00000063,M003,2,520,1040,served,2026-02-11T18:37:38+09:00,1120,0
OI00000155,O00000064,M003,1,520,520,served,2026-02-11T19:03:13+09:00,298,0
OI00000156,O00000064,M006,3,450,1350,served,2026-02-11T19:03:18+09:00,303,1
OI00000157,O00000065,M004,2,980,1960,served,2026-02-11T19:46:31+09:00,737,0
OI00000158,O00000065,M004,3,980,2940,served,2026-02-11T19:48:38+09:00,864,0
OI00000159,O00000065,M004,2,980,1960,served,2026-02-11T19:43:01+09:00,527,0
OI00000160,O00000065,M104,1,800,800,served,2026-02-11T19:39:05+09:00,291,0
OI00000161,O00000066,M003,2,520,1040,served,2026-02-11T18:02:37+09:00,809,0
OI00000162,O00000066,M004,3,980,2940,served,2026-02-11T17:54:41+09:00,333,0
OI00000163,O00000067,M104,1,800,800,served,2026-02-11T08:16:21+09:00,1056,0
OI00000164,O00000067,M003,2,520,1040,served,2026-02-11T08:09:09+09:00,624,0
OI00000165,O00000067,M001,1,680,680,served,2026-02-11T08:12:21+09:00,816,0
OI00000166,O00000067,M005,2,390,780,served,2026-02-11T08:03:01+09:00,256,1
OI00000167,O00000068,M005,2,390,780,served,2026-02-11T09:54:11+09:00,678,1
OI00000168,O00000068,M002,2,780,1560,served,2026-02-11T10:00:36+09:00,1063,0
OI00000169,O00000068,M005,3,390,1170,served,2026-02-11T10:01:20+09:00,1107,1
OI00000170,O00000068,M001,3,680,2040,served,2026-02-11T09:56:42+09:00,829,0
OI00000171,O00000069,M004,2,980,1960,served,2026-02-11T17:37:17+09:00,490,0
OI00000172,O00000069,M104,3,800,2400,served,2026-02-11T17:42:18+09:00,791,0
OI00000173,O00000070,M005,3,390,1170,served,2026-02-11T18:42:28+09:00,711,1
OI00000174,O00000070,M004,2,980,1960,served,2026-02-11T18:43:24+09:00,767,0
OI00000175,O00000070,M004,2,980,1960,served,2026-02-11T18:35:26+09:00,289,0
OI00000176,O00000071,M104,2,800,1600,served,2026-02-11T13:58:35+09:00,836,0
OI00000177,O00000071,M104,1,800,800,served,2026-02-11T13:57:20+09:00,761,0
OI00000178,O00000072,M104,3,800,2400,served,2026-02-11T14:35:20+09:00,405,0
OI00000179,O00000072,M001,1,680,680,served,2026-02-11T14:44:10+09:00,935,0
OI00000180,O00000072,M003,2,520,1040,served,2026-02-11T14:37:25+09:00,530,0
OI00000181,O00000072,M104,2,800,1600,served,2026-02-11T14:47:24+09:00,1129,0
OI00000182,O00000073,M005,1,390,390,served,2026-02-11T13:59:18+09:00,281,1
OI00000183,O00000073,M004,3,980,2940,served,2026-02-11T14:07:21+09:00,764,0
OI00000184,O00000074,M001,1,680,680,served,2026-02-11T14:18:15+09:00,569,0
OI00000185,O00000074,M003,1,520,520,served,2026-02-11T14:15:50+09:00,424,0
OI00000186,O00000074,M104,3,800,2400,served,2026-02-11T14:20:15+09:00,689,0
OI00000187,O00000074,M003,1,520,520,served,2026-02-11T14:22:36+09:00,830,0
OI00000188,O00000075,M104,2,800,1600,served,2026-02-11T14:50:39+09:00,430,0
OI00000189,O00000076,M002,3,780,2340,served,2026-02-11T10:56:58+09:00,904,0
OI00000190,O00000076,M004,2,980,1960,served,2026-02-11T10:54:51+09:00,777,0
OI00000191,O00000076,M002,3,780,2340,served,2026-02-11T10:58:18+09:00,984,0
OI00000192,O00000077,M006,1,450,450,served,2026-02-11T11:06:30+09:00,998,1
OI00000193,O00000077,M003,1,520,520,served,2026-02-11T11:09:19+09:00,1167,0
OI00000194,O00000078,M004,3,980,2940,served,2026-02-11T14:00:58+09:00,834,0
OI00000195,O00000079,M006,1,450,450,served,2026-02-11T14:05:27+09:00,798,1
OI00000196,O00000079,M006,3,450,1350,served,2026-02-11T14:11:42+09:00,1173,1
OI00000197,O00000079,M002,1,780,780,served,2026-02-11T13:59:07+09:00,418,0
OI00000198,O00000080,M004,1,980,980,served,2026-02-11T14:34:18+09:00,328,0
OI00000199,O00000080,M006,1,450,450,served,2026-02-11T14:33:04+09:00,254,1
OI00000200,O00000080,M002,3,780,2340,served,2026-02-11T14:43:08+09:00,858,0
OI00000201,O00000080,M004,1,980,980,served,2026-02-11T14:39:44+09:00,654,0
OI00000202,O00000081,M003,2,520,1040,served,2026-02-11T09:56:26+09:00,856,0
OI00000203,O00000081,M001,1,680,680,served,2026-02-11T09:58:25+09:00,975,0
OI00000204,O00000081,M002,1,780,780,served,2026-02-11T09:59:56+09:00,1066,0
OI00000205,O00000082,M005,3,390,1170,served,2026-02-11T10:30:47+09:00,749,1
OI00000206,O00000082,M006,1,450,450,served,2026-02-11T10:37:39+09:00,1161,1
OI00000207,O00000082,M003,2,520,1040,served,2026-02-11T10:30:16+09:00,718,0
OI00000208,O00000083,M001,2,680,1360,served,2026-02-11T21:15:46+09:00,496,0
OI00000209,O00000083,M003,2,520,1040,served,2026-02-11T21:25:08+09:00,1058,0
OI00000210,O00000084,M006,3,450,1350,served,2026-02-11T21:52:33+09:00,449,1
OI00000211,O00000085,M104,2,800,1600,served,2026-02-11T20:11:30+09:00,591,0
OI00000212,O00000085,M006,1,450,450,served,2026-02-11T20:12:14+09:00,635,1
OI00000213,O00000085,M104,2,800,1600,served,2026-02-11T20:13:40+09:00,721,0
OI00000214,O00000086,M004,1,980,980,served,2026-02-11T20:23:40+09:00,796,0
OI00000215,O00000086,M006,1,450,450,served,2026-02-11T20:25:43+09:00,919,1
OI00000216,O00000086,M002,1,780,780,served,2026-02-11T20:21:54+09:00,690,0
OI00000217,O00000086,M002,3,780,2340,served,2026-02-11T20:28:06+09:00,1062,0
OI00000218,O00000087,M004,1,980,980,served,2026-02-11T19:55:10+09:00,557,0
OI00000219,O00000087,M004,1,980,980,served,2026-02-11T20:04:01+09:00,1088,0
OI00000220,O00000088,M002,1,780,780,served,2026-02-11T20:05:35+09:00,446,0
OI00000221,O00000088,M003,2,520,1040,served,2026-02-11T20:17:58+09:00,1189,0
OI00000222,O00000088,M001,1,680,680,served,2026-02-11T20:08:44+09:00,635,0
OI00000223,O00000089,M004,1,980,980,served,2026-02-11T20:24:09+09:00,733,0
OI00000224,O00000089,M001,3,680,2040,served,2026-02-11T20:16:12+09:00,256,0
OI00000225,O00000090,M004,3,980,2940,served,2026-02-11T12:11:25+09:00,694,0
OI00000226,O00000091,M003,1,520,520,served,2026-02-11T15:13:19+09:00,359,0
OI00000227,O00000091,M003,1,520,520,served,2026-02-11T15:17:06+09:00,586,0
OI00000228,O00000091,M003,3,520,1560,served,2026-02-11T15:24:30+09:00,1030,0
OI00000229,O00000092,M005,3,390,1170,served,2026-02-11T16:10:41+09:00,731,1
OI00000230,O00000092,M005,1,390,390,served,2026-02-11T16:03:25+09:00,295,1
OI00000231,O00000092,M002,1,780,780,served,2026-02-11T16:07:14+09:00,524,0
OI00000232,O00000093,M003,2,520,1040,served,2026-02-11T11:11:10+09:00,464,0
OI00000233,O00000094,M006,2,450,900,served,2026-02-11T11:31:55+09:00,793,1
OI00000234,O00000094,M003,1,520,520,served,2026-02-11T11:34:27+09:00,945,0
OI00000235,O00000094,M104,1,800,800,served,2026-02-11T11:27:56+09:00,554,0
OI00000236,O00000094,M002,3,780,2340,served,2026-02-11T11:24:54+09:00,372,0
OI00000237,O00000095,M002,3,780,2340,served,2026-02-11T11:43:10+09:00,917,0
OI00000238,O00000095,M004,1,980,980,served,2026-02-11T11:32:53+09:00,300,0
OI00000239,O00000095,M006,2,450,900,served,2026-02-11T11:41:19+09:00,806,1
OI00000240,O00000095,M104,2,800,1600,served,2026-02-11T11:35:46+09:00,473,0
OI00000241,O00000096,M104,1,800,800,served,2026-02-11T14:06:15+09:00,1032,0
OI00000242,O00000096,M005,1,390,390,served,2026-02-11T14:03:51+09:00,888,1
OI00000243,O00000096,M001,2,680,1360,served,2026-02-11T14:07:33+09:00,1110,0
OI00000244,O00000097,M004,1,980,980,served,2026-02-11T14:31:57+09:00,1070,0
OI00000245,O00000097,M004,2,980,1960,served,2026-02-11T14:29:18+09:00,911,0
OI00000246,O00000097,M005,3,390,1170,served,2026-02-11T14:19:45+09:00,338,1
OI00000247,O00000097,M003,2,520,1040,served,2026-02-11T14:24:29+09:00,622,0
OI00000248,O00000098,M003,3,520,1560,served,2026-02-11T14:37:11+09:00,926,0
OI00000249,O00000098,M001,1,680,680,served,2026-02-11T14:34:32+09:00,767,0
OI00000250,O00000098,M104,1,800,800,served,2026-02-11T14:26:37+09:00,292,0
OI00000251,O00000098,M004,1,980,980,served,2026-02-11T14:38:30+09:00,1005,0
OI00000252,O00000099,M003,3,520,1560,served,2026-02-11T10:37:07+09:00,366,0
OI00000253,O00000099,M006,3,450,1350,served,2026-02-11T10:44:29+09:00,808,1
OI00000254,O00000099,M001,1,680,680,served,2026-02-11T10:38:46+09:00,465,0
OI00000255,O00000099,M104,1,800,800,served,2026-02-11T10:43:14+09:00,733,0
OI00000256,O00000100,M001,3,680,2040,served,2026-02-11T12:05:50+09:00,612,0
OI00000257,O00000100,M004,1,980,980,served,2026-02-11T12:06:10+09:00,632,0
OI00000258,O00000100,M004,1,980,980,served,2026-02-11T12:04:41+09:00,543,0
OI00000259,O00000100,M104,2,800,1600,served,2026-02-11T12:10:34+09:00,896,0
OI00000260,O00000101,M104,2,800,1600,served,2026-02-11T12:24:05+09:00,1048,0
OI00000261,O00000101,M004,3,980,2940,served,2026-02-11T12:18:20+09:00,703,0
OI00000262,O00000102,M006,1,450,450,served,2026-02-11T11:19:09+09:00,670,1
OI00000263,O00000103,M002,2,780,1560,served,2026-02-11T11:47:32+09:00,956,0
OI00000264,O00000103,M104,1,800,800,served,2026-02-11T11:44:24+09:00,768,0
OI00000265,O00000103,M001,2,680,1360,served,2026-02-11T11:46:23+09:00,887,0
OI00000266,O00000103,M003,3,520,1560,served,2026-02-11T11:48:16+09:00,1000,0
OI00000267,O00000104,M006,1,450,450,served,2026-02-11T16:42:49+09:00,1093,1
OI00000268,O00000105,M002,1,780,780,served,2026-02-11T17:53:42+09:00,862,0
OI00000269,O00000106,M002,1,780,780,served,2026-02-11T11:42:30+09:00,425,0
OI00000270,O00000106,M004,2,980,1960,served,2026-02-11T11:54:25+09:00,1140,0
OI00000271,O00000107,M104,2,800,1600,served,2026-02-11T13:09:21+09:00,1159,0
OI00000272,O00000107,M006,1,450,450,served,2026-02-11T12:58:17+09:00,495,1
OI00000273,O00000108,M002,1,780,780,served,2026-02-11T10:52:01+09:00,1176,0
OI00000274,O00000108,M001,2,680,1360,served,2026-02-11T10:47:14+09:00,889,0
OI00000275,O00000108,M003,1,520,520,served,2026-02-11T10:42:08+09:00,583,0
OI00000276,O00000109,M005,2,390,780,served,2026-02-11T11:45:36+09:00,866,1
OI00000277,O00000109,M001,1,680,680,served,2026-02-11T11:43:07+09:00,717,0
OI00000278,O00000110,M001,3,680,2040,served,2026-02-11T11:51:02+09:00,370,0
OI00000279,O00000111,M005,3,390,1170,served,2026-02-11T14:18:25+09:00,705,1
OI00000280,O00000111,M104,2,800,1600,served,2026-02-11T14:12:59+09:00,379,0
OI00000281,O00000112,M005,2,390,780,served,2026-02-11T14:32:19+09:00,619,1
OI00000282,O00000112,M104,3,800,2400,served,2026-02-11T14:39:04+09:00,1024,0
OI00000283,O00000112,M104,1,800,800,served,2026-02-11T14:36:44+09:00,884,0
OI00000284,O00000113,M005,3,390,1170,served,2026-02-11T15:07:50+09:00,710,1
OI00000285,O00000113,M001,1,680,680,served,2026-02-11T15:01:36+09:00,336,0
OI00000286,O00000113,M104,2,800,1600,served,2026-02-11T15:14:02+09:00,1082,0
OI00000287,O00000113,M001,2,680,1360,served,2026-02-11T15:09:38+09:00,818,0
OI00000288,O00000114,M003,3,520,1560,served,2026-02-11T09:59:35+09:00,886,0
OI00000289,O00000115,M005,1,390,390,served,2026-02-11T08:45:20+09:00,811,1
OI00000290,O00000116,M004,1,980,980,served,2026-02-11T17:43:30+09:00,765,0
OI00000291,O00000116,M001,1,680,680,served,2026-02-11T17:35:15+09:00,270,0
OI00000292,O00000117,M003,2,520,1040,served,2026-02-11T17:40:21+09:00,303,0
OI00000293,O00000117,M001,2,680,1360,served,2026-02-11T17:49:36+09:00,858,0
OI00000294,O00000117,M003,1,520,520,served,2026-02-11T17:53:20+09:00,1082,0
OI00000295,O00000117,M104,1,800,800,served,2026-02-11T17:47:00+09:00,702,0
OI00000296,O00000118,M003,1,520,520,served,2026-02-11T18:15:08+09:00,720,0
OI00000297,O00000118,M004,2,980,1960,served,2026-02-11T18:13:13+09:00,605,0
OI00000298,O00000118,M003,2,520,1040,served,2026-02-11T18:21:50+09:00,1122,0
OI00000299,O00000119,M004,3,980,2940,served,2026-02-11T13:20:23+09:00,985,0
OI00000300,O00000119,M003,2,520,1040,served,2026-02-11T13:16:58+09:00,780,0
OI00000301,O00000120,M104,1,800,800,served,2026-02-11T13:55:51+09:00,647,0
OI00000302,O00000120,M004,3,980,2940,served,2026-02-11T14:04:52+09:00,1188,0
OI00000303,O00000120,M005,1,390,390,served,2026-02-11T14:04:08+09:00,1144,1
OI00000304,O00000120,M001,2,680,1360,served,2026-02-11T13:55:45+09:00,641,0
OI00000305,O00000121,M005,3,390,1170,served,2026-02-11T13:56:03+09:00,370,1
OI00000306,O00000121,M006,3,450,1350,served,2026-02-11T14:05:13+09:00,920,1
OI00000307,O00000121,M005,3,390,1170,served,2026-02-11T14:05:33+09:00,940,1
OI00000308,O00000121,M003,2,520,1040,served,2026-02-11T14:01:09+09:00,676,0
OI00000309,O00000122,M004,3,980,2940,served,2026-02-11T14:17:32+09:00,745,0
OI00000310,O00000122,M002,1,780,780,served,2026-02-11T14:23:39+09:00,1112,0
OI00000311,O00000122,M002,1,780,780,served,2026-02-11T14:24:05+09:00,1138,0
OI00000312,O00000123,M005,3,390,1170,served,2026-02-11T10:20:11+09:00,737,1
OI00000313,O00000123,M003,1,520,520,served,2026-02-11T10:26:37+09:00,1123,0
OI00000314,O00000124,M004,2,980,1960,served,2026-02-11T10:07:53+09:00,327,0
OI00000315,O00000124,M006,2,450,900,served,2026-02-11T10:17:55+09:00,929,1
OI00000316,O00000124,M005,1,390,390,served,2026-02-11T10:12:34+09:00,608,1
OI00000317,O00000124,M004,1,980,980,served,2026-02-11T10:22:23+09:00,1197,0
