visit_id,store_id,table_id,seated_at,left_at,adult_cnt,child_cnt,visit_date,day_of_week,time_slot
V00000026,S003,T19,2026-02-10T14:10:04+09:00,2026-02-10T15:03:04+09:00,4,0,2026-02-10,1,lunch
V00000027,S003,T29,2026-02-10T16:06:45+09:00,2026-02-10T18:04:45+09:00,4,2,2026-02-10,1,afternoon
V00000028,S003,T17,2026-02-10T18:58:21+09:00,2026-02-10T19:58:21+09:00,2,2,2026-02-10,1,evening
V00000029,S003,T07,2026-02-10T08:19:00+09:00,2026-02-10T10:02:00+09:00,1,0,2026-02-10,1,morning
V00000030,S003,T23,2026-02-10T10:15:56+09:00,2026-02-10T11:37:56+09:00,4,0,2026-02-10,1,morning
V00000031,S003,T17,2026-02-10T16:00:47+09:00,2026-02-10T16:56:47+09:00,2,2,2026-02-10,1,afternoon
V00000032,S003,T01,2026-02-10T14:57:25+09:00,2026-02-10T15:51:25+09:00,4,1,2026-02-10,1,lunch
V00000033,S001,T14,2026-02-11T16:37:44+09:00,2026-02-11T18:24:44+09:00,4,1,2026-02-11,2,afternoon
V00000034,S001,T19,2026-02-11T18:58:15+09:00,2026-02-11T19:53:15+09:00,2,2,2026-02-11,2,evening
V00000035,S001,T28,2026-02-11T17:44:32+09:00,2026-02-11T18:20:32+09:00,3,0,2026-02-11,2,afternoon
V00000036,S001,T15,2026-02-11T07:58:45+09:00,2026-02-11T09:49:45+09:00,3,0,2026-02-11,2,morning
V00000037,S001,T24,2026-02-11T17:29:07+09:00,2026-02-11T18:39:07+09:00,3,1,2026-02-11,2,afternoon
V00000038,S001,T18,2026-02-11T13:44:39+09:00,2026-02-11T15:15:39+09:00,3,2,2026-02-11,2,lunch
V00000039,S001,T22,2026-02-11T13:54:37+09:00,2026-02-11T14:44:37+09:00,4,2,2026-02-11,2,lunch
V00000040,S001,T02,2026-02-11T10:41:54+09:00,2026-02-11T11:54:54+09:00,2,1,2026-02-11,2,morning
V00000041,S001,T11,2026-02-11T13:47:04+09:00,2026-02-11T15:38:04+09:00,1,0,2026-02-11,2,lunch
V00000042,S001,T19,2026-02-11T09:42:10+09:00,2026-02-11T10:58:10+09:00,1,1,2026-02-11,2,morning
V00000043,S001,T17,2026-02-11T21:07:30+09:00,2026-02-11T22:33:30+09:00,2,2,2026-02-11,2,evening
V00000044,S001,T07,2026-02-11T20:01:39+09:00,2026-02-11T20:36:39+09:00,3,0,2026-02-11,2,evening
V00000045,S001,T26,2026-02-11T19:45:53+09:00,2026-02-11T20:22:53+09:00,4,1,2026-02-11,2,evening
V00000046,S001,T06,2026-02-11T11:22:15+09:00,2026-02-11T12:27:15+09:00,4,1,2026-02-11,2,lunch
V00000047,S002,T23,2026-02-11T15:07:20+09:00,2026-02-11T17:02:20+09:00,3,0,2026-02-11,2,afternoon
V00000048,S002,T20,2026-02-11T11:03:26+09:00,2026-02-11T11:39:26+09:00,1,0,2026-02-11,2,lunch
V00000049,S002,T17,2026-02-11T13:49:03+09:00,2026-02-11T14:31:03+09:00,2,2,2026-02-11,2,lunch
V00000050,S002,T04,2026-02-11T10:31:01+09:00,2026-02-11T12:09:01+09:00,4,0,2026-02-11,2,morning
V00000051,S002,T14,2026-02-11T11:07:59+09:00,2026-02-11T11:48:59+09:00,1,0,2026-02-11,2,lunch
V00000052,S002,T11,2026-02-11T16:24:36+09:00,2026-02-11T18:23:36+09:00,2,1,2026-02-11,2,afternoon
V00000053,S002,T20,2026-02-11T11:35:25+09:00,2026-02-11T13:31:25+09:00,4,2,2026-02-11,2,lunch
V00000054,S002,T15,2026-02-11T10:32:25+09:00,2026-02-11T12:17:25+09:00,3,2,2026-02-11,2,morning
V00000055,S002,T13,2026-02-11T14:06:40+09:00,2026-02-11T15:34:40+09:00,3,1,2026-02-11,2,lunch
V00000056,S002,T24,2026-02-11T09:37:58+09:00,2026-02-11T11:37:58+09:00,2,1,2026-02-11,2,morning
V00000057,S002,T11,2026-02-11T08:24:25+09:00,2026-02-11T09:41:25+09:00,1,1,2026-02-11,2,morning
V00000058,S002,T08,2026-02-11T17:30:45+09:00,2026-02-11T18:26:45+09:00,2,0,2026-02-11,2,afternoon
V00000059,S002,T17,2026-02-11T13:03:58+09:00,2026-02-11T14:00:58+09:00,2,0,2026-02-11,2,lunch
V00000060,S003,T22,2026-02-11T13:24:34+09:00,2026-02-11T14:57:34+09:00,1,0,2026-02-11,2,lunch
V00000061,S003,T14,2026-02-11T10:03:05+09:00,2026-02-11T10:57:05+09:00,2,0,2026-02-11,2,morning
V00000062,S003,T20,2026-02-11T09:30:27+09:00,2026-02-11T10:33:27+09:00,3,2,2026-02-11,2,morning
V00000063,S003,T02,2026-02-11T08:57:03+09:00,2026-02-11T10:11:03+09:00,2,1,2026-02-11,2,morning
V00000064,S003,T22,2026-02-11T10:03:14+09:00,2026-02-11T10:53:14+09:00,1,1,2026-02-11,2,morning
V00000065,S003,T03,2026-02-11T07:54:46+09:00,2026-02-11T09:48:46+09:00,3,0,2026-02-11,2,morning
V00000066,S003,T10,2026-02-11T12:30:16+09:00,2026-02-11T13:45:16+09:00,1,1,2026-02-11,2,lunch
V00000067,S003,T21,2026-02-11T16:16:23+09:00,2026-02-11T17:22:23+09:00,3,1,2026-02-11,2,afternoon
V00000068,S003,T04,2026-02-11T08:49:16+09:00,2026-02-11T10:28:16+09:00,1,1,2026-02-11,2,morning
V00000069,S003,T13,2026-02-11T21:18:43+09:00,2026-02-11T21:58:43+09:00,2,1,2026-02-11,2,evening
V00000070,S003,T13,2026-02-11T15:24:06+09:00,2026-02-11T16:20:06+09:00,3,1,2026-02-11,2,afternoon
V00000071,S003,T17,2026-02-11T15:57:12+09:00,2026-02-11T17:46:12+09:00,4,0,2026-02-11,2,afternoon
V00000072,S003,T03,2026-02-11T08:37:54+09:00,2026-02-11T10:04:54+09:00,4,1,2026-02-11,2,morning
V00000073,S003,T04,2026-02-11T12:09:38+09:00,2026-02-11T13:50:38+09:00,4,2,2026-02-11,2,lunch
V00000074,S001,T14,2025-01-01T08:02:08+09:00,2025-01-01T09:17:08+09:00,4,1,2025-01-01,2,morning
V00000075,S001,T24,2025-01-01T08:40:51+09:00,2025-01-01T09:18:51+09:00,3,0,2025-01-01,2,morning
V00000076,S001,T02,2025-01-01T12:30:31+09:00,2025-01-01T14:10:31+09:00,2,0,2025-01-01,2,lunch
V00000077,S001,T29,2025-01-01T17:27:20+09:00,2025-01-01T18:30:20+09:00,4,0,2025-01-01,2,afternoon
V00000078,S001,T11,2025-01-01T15:07:59+09:00,2025-01-01T16:49:59+09:00,2,2,2025-01-01,2,afternoon
V00000079,S001,T04,2025-01-01T14:24:20+09:00,2025-01-01T15:00:20+09:00,4,2,2025-01-01,2,lunch
V00000080,S001,T29,2025-01-01T13:29:33+09:00,2025-01-01T14:46:33+09:00,2,1,2025-01-01,2,lunch
V00000081,S001,T14,2025-01-01T15:13:50+09:00,2025-01-01T15:52:50+09:00,1,0,2025-01-01,2,afternoon
V00000082,S001,T03,2025-01-01T08:41:11+09:00,2025-01-01T10:31:11+09:00,3,0,2025-01-01,2,morning
V00000083,S001,T06,2025-01-01T16:11:02+09:00,2025-01-01T17:06:02+09:00,1,2,2025-01-01,2,afternoon
V00000084,S001,T23,2025-01-01T16:05:03+09:00,2025-01-01T17:08:03+09:00,3,0,2025-01-01,2,afternoon
V00000085,S001,T23,2025-01-01T16:14:36+09:00,2025-01-01T17:04:36+09:00,2,2,2025-01-01,2,afternoon
V00000086,S001,T22,2025-01-01T12:00:18+09:00,2025-01-01T12:41:18+09:00,2,0,2025-01-01,2,lunch
V00000087,S001,T13,2025-01-01T07:53:06+09:00,2025-01-01T09:24:06+09:00,1,2,2025-01-01,2,morning
V00000088,S001,T11,2025-01-01T12:11:34+09:00,2025-01-01T13:51:34+09:00,3,2,2025-01-01,2,lunch
V00000089,S002,T22,2025-01-01T15:56:35+09:00,2025-01-01T16:37:35+09:00,2,1,2025-01-01,2,afternoon
V00000090,S002,T12,2025-01-01T18:38:40+09:00,2025-01-01T19:31:40+09:00,2,1,2025-01-01,2,evening
V00000091,S002,T15,2025-01-01T20:06:49+09:00,2025-01-01T21:08:49+09:00,4,2,2025-01-01,2,evening
V00000092,S002,T13,2025-01-01T20:46:33+09:00,2025-01-01T22:02:33+09:00,2,1,2025-01-01,2,evening
V00000093,S002,T07,2025-01-01T13:08:09+09:00,2025-01-01T15:04:09+09:00,1,0,2025-01-01,2,lunch
V00000094,S002,T29,2025-01-01T07:59:17+09:00,2025-01-01T09:32:17+09:00,4,1,2025-01-01,2,morning
V00000095,S002,T16,2025-01-01T16:00:45+09:00,2025-01-01T16:46:45+09:00,1,2,2025-01-01,2,afternoon
V00000096,S002,T15,2025-01-01T15:38:48+09:00,2025-01-01T17:30:48+09:00,3,0,2025-01-01,2,afternoon
V00000097,S002,T18,2025-01-01T08:04:41+09:00,2025-01-01T09:33:41+09:00,2,2,2025-01-01,2,morning
V00000098,S002,T16,2025-01-01T09:57:38+09:00,2025-01-01T11:57:38+09:00,2,0,2025-01-01,2,morning
V00000099,S003,T24,2025-01-01T19:55:17+09:00,2025-01-01T21:11:17+09:00,1,2,2025-01-01,2,evening
V00000100,S003,T21,2025-01-01T11:28:39+09:00,2025-01-01T12:22:39+09:00,3,2,2025-01-01,2,lunch
V00000101,S003,T14,2025-01-01T20:27:05+09:00,2025-01-01T21:05:05+09:00,3,1,2025-01-01,2,evening
V00000102,S003,T30,2025-01-01T08:55:32+09:00,2025-01-01T10:44:32+09:00,3,1,2025-01-01,2,morning
V00000103,S003,T26,2025-01-01T16:36:32+09:00,2025-01-01T17:39:32+09:00,1,1,2025-01-01,2,afternoon
V00000104,S003,T11,2025-01-01T19:17:26+09:00,2025-01-01T21:06:26+09:00,1,1,2025-01-01,2,evening
V00000105,S003,T19,2025-01-01T08:29:50+09:00,2025-01-01T09:55:50+09:00,1,2,2025-01-01,2,morning
V00000106,S003,T04,2025-01-01T15:13:56+09:00,2025-01-01T16:50:56+09:00,2,1,2025-01-01,2,afternoon
V00000107,S003,T20,2025-01-01T11:08:48+09:00,2025-01-01T12:59:48+09:00,4,1,2025-01-01,2,lunch
V00000108,S003,T26,2025-01-01T08:22:29+09:00,2025-01-01T09:46:29+09:00,1,0,2025-01-01,2,morning
V00000109,S003,T09,2025-01-01T08:56:47+09:00,2025-01-01T10:20:47+09:00,3,1,2025-01-01,2,morning
V00000110,S003,T04,2025-01-01T12:01:39+09:00,2025-01-01T12:44:39+09:00,3,0,2025-01-01,2,lunch
V00000111,S003,T19,2025-01-01T07:26:36+09:00,2025-01-01T08:20:36+09:00,2,0,2025-01-01,2,morning
V00000112,S003,T21,2025-01-01T08:50:02+09:00,2025-01-01T09:31:02+09:00,4,0,2025-01-01,2,morning
V00000113,S003,T01,2025-01-01T08:31:15+09:00,2025-01-01T09:29:15+09:00,3,1,2025-01-01,2,morning
V00000114,S003,T10,2025-01-01T13:51:46+09:00,2025-01-01T15:48:46+09:00,4,0,2025-01-01,2,lunch
V00000115,S001,T25,2025-01-02T08:39:14+09:00,2025-01-02T10:25:14+09:00,3,2,2025-01-02,3,morning
V00000116,S001,T01,2025-01-02T18:31:55+09:00,2025-01-02T19:35:55+09:00,3,1,2025-01-02,3,evening
V00000117,S001,T10,2025-01-02T09:35:10+09:00,2025-01-02T11:26:10+09:00,1,1,2025-01-02,3,morning
V00000118,S001,T26,2025-01-02T13:49:20+09:00,2025-01-02T14:47:20+09:00,4,0,2025-01-02,3,lunch
V00000119,S001,T09,2025-01-02T13:20:29+09:00,2025-01-02T13:59:29+09:00,3,1,2025-01-02,3,lunch
V00000120,S001,T05,2025-01-02T17:58:51+09:00,2025-01-02T18:59:51+09:00,1,2,2025-01-02,3,afternoon
V00000121,S001,T05,2025-01-02T14:42:09+09:00,2025-01-02T16:23:09+09:00,4,0,2025-01-02,3,lunch
V00000122,S001,T04,2025-01-02T18:01:36+09:00,2025-01-02T19:48:36+09:00,2,2,2025-01-02,3,evening
V00000123,S001,T02,2025-01-02T21:28:00+09:00,2025-01-02T23:00:00+09:00,4,0,2025-01-02,3,evening
V00000124,S001,T07,2025-01-02T09:06:11+09:00,2025-01-02T09:51:11+09:00,2,1,2025-01-02,3,morning
V00000125,S001,T07,2025-01-02T13:52:25+09:00,2025-01-02T14:59:25+09:00,3,2,2025-01-02,3,lunch
V00000126,S002,T28,2025-01-02T18:35:25+09:00,2025-01-02T20:12:25+09:00,4,1,2025-01-02,3,evening
V00000127,S002,T20,2025-01-02T11:21:41+09:00,2025-01-02T12:28:41+09:00,1,0,2025-01-02,3,lunch
V00000128,S002,T09,2025-01-02T21:06:52+09:00,2025-01-02T22:41:52+09:00,1,1,2025-01-02,3,evening
V00000129,S002,T28,2025-01-02T14:30:04+09:00,2025-01-02T16:16:04+09:00,4,1,2025-01-02,3,lunch
V00000130,S002,T25,2025-01-02T10:37:13+09:00,2025-01-02T11:48:13+09:00,4,2,2025-01-02,3,morning
V00000131,S002,T05,2025-01-02T19:54:37+09:00,2025-01-02T21:12:37+09:00,4,1,2025-01-02,3,evening
V00000132,S002,T28,2025-01-02T21:25:05+09:00,2025-01-02T23:00:00+09:00,4,0,2025-01-02,3,evening
V00000133,S002,T26,2025-01-02T07:35:05+09:00,2025-01-02T08:34:05+09:00,4,2,2025-01-02,3,morning
V00000134,S002,T18,2025-01-02T10:27:16+09:00,2025-01-02T11:40:16+09:00,1,1,2025-01-02,3,morning
V00000135,S003,T12,2025-01-02T11:36:03+09:00,2025-01-02T12:24:03+09:00,2,2,2025-01-02,3,lunch
V00000136,S003,T18,2025-01-02T13:57:17+09:00,2025-01-02T15:40:17+09:00,4,1,2025-01-02,3,lunch
V00000137,S003,T12,2025-01-02T21:27:17+09:00,2025-01-02T23:00:00+09:00,2,1,2025-01-02,3,evening
V00000138,S003,T05,2025-01-02T08:50:48+09:00,2025-01-02T09:34:48+09:00,3,0,2025-01-02,3,morning
V00000139,S003,T20,2025-01-02T11:35:24+09:00,2025-01-02T13:25:24+09:00,1,2,2025-01-02,3,lunch
V00000140,S003,T08,2025-01-02T20:37:58+09:00,2025-01-02T22:15:58+09:00,2,1,2025-01-02,3,evening
V00000141,S003,T08,2025-01-02T15:26:23+09:00,2025-01-02T16:26:23+09:00,3,0,2025-01-02,3,afternoon
V00000142,S003,T15,2025-01-02T09:10:34+09:00,2025-01-02T10:32:34+09:00,2,2,2025-01-02,3,morning
V00000143,S003,T13,2025-01-02T10:08:49+09:00,2025-01-02T12:08:49+09:00,4,1,2025-01-02,3,morning
V00000144,S003,T14,2025-01-02T18:48:05+09:00,2025-01-02T19:52:05+09:00,4,1,2025-01-02,3,evening
V00000145,S003,T07,2025-01-02T07:01:39+09:00,2025-01-02T07:54:39+09:00,4,1,2025-01-02,3,morning
V00000146,S001,T26,2025-01-03T12:25:25+09:00,2025-01-03T13:34:25+09:00,1,1,2025-01-03,4,lunch
V00000147,S001,T01,2025-01-03T08:59:10+09:00,2025-01-03T09:55:10+09:00,3,1,2025-01-03,4,morning
V00000148,S001,T12,2025-01-03T18:16:02+09:00,2025-01-03T19:26:02+09:00,3,0,2025-01-03,4,evening
V00000149,S001,T28,2025-01-03T19:58:49+09:00,2025-01-03T21:56:49+09:00,2,1,2025-01-03,4,evening
V00000150,S001,T18,2025-01-03T10:13:00+09:00,2025-01-03T11:54:00+09:00,4,1,2025-01-03,4,morning
V00000151,S001,T09,2025-01-03T17:21:08+09:00,2025-01-03T18:25:08+09:00,1,0,2025-01-03,4,afternoon
V00000152,S001,T29,2025-01-03T20:14:40+09:00,2025-01-03T21:32:40+09:00,4,0,2025-01-03,4,evening
V00000153,S001,T19,2025-01-03T08:49:07+09:00,2025-01-03T09:40:07+09:00,4,1,2025-01-03,4,morning
V00000154,S001,T04,2025-01-03T08:19:14+09:00,2025-01-03T09:49:14+09:00,2,0,2025-01-03,4,morning
V00000155,S001,T03,2025-01-03T09:40:45+09:00,2025-01-03T11:39:45+09:00,3,1,2025-01-03,4,morning
V00000156,S001,T27,2025-01-03T16:39:33+09:00,2025-01-03T17:28:33+09:00,3,0,2025-01-03,4,afternoon
V00000157,S002,T22,2025-01-03T07:49:01+09:00,2025-01-03T09:30:01+09:00,2,1,2025-01-03,4,morning
V00000158,S002,T27,2025-01-03T12:11:32+09:00,2025-01-03T13:24:32+09:00,3,0,2025-01-03,4,lunch
V00000159,S002,T26,2025-01-03T17:49:33+09:00,2025-01-03T19:00:33+09:00,4,0,2025-01-03,4,afternoon
V00000160,S002,T24,2025-01-03T08:44:28+09:00,2025-01-03T10:08:28+09:00,4,1,2025-01-03,4,morning
V00000161,S002,T07,2025-01-03T15:13:25+09:00,2025-01-03T15:59:25+09:00,3,2,2025-01-03,4,afternoon
V00000162,S002,T11,2025-01-03T11:02:28+09:00,2025-01-03T12:09:28+09:00,2,1,2025-01-03,4,lunch
V00000163,S002,T08,2025-01-03T19:06:30+09:00,2025-01-03T20:13:30+09:00,1,1,2025-01-03,4,evening
V00000164,S002,T28,2025-01-03T10:13:26+09:00,2025-01-03T12:08:26+09:00,1,0,2025-01-03,4,morning
V00000165,S002,T08,2025-01-03T17:35:25+09:00,2025-01-03T18:46:25+09:00,3,0,2025-01-03,4,afternoon
V00000166,S002,T17,2025-01-03T18:51:54+09:00,2025-01-03T20:01:54+09:00,3,0,2025-01-03,4,evening
V00000167,S003,T13,2025-01-03T13:29:25+09:00,2025-01-03T14:35:25+09:00,3,1,2025-01-03,4,lunch
V00000168,S003,T27,2025-01-03T13:52:21+09:00,2025-01-03T15:15:21+09:00,2,2,2025-01-03,4,lunch
V00000169,S003,T23,2025-01-03T09:09:31+09:00,2025-01-03T10:40:31+09:00,3,2,2025-01-03,4,morning
V00000170,S003,T02,2025-01-03T15:21:07+09:00,2025-01-03T16:51:07+09:00,4,2,2025-01-03,4,afternoon
V00000171,S003,T03,2025-01-03T13:19:55+09:00,2025-01-03T15:08:55+09:00,4,1,2025-01-03,4,lunch
V00000172,S003,T07,2025-01-03T17:23:34+09:00,2025-01-03T19:00:34+09:00,1,0,2025-01-03,4,afternoon
V00000173,S003,T29,2025-01-03T13:24:11+09:00,2025-01-03T15:01:11+09:00,1,2,2025-01-03,4,lunch
V00000174,S003,T28,2025-01-03T07:52:48+09:00,2025-01-03T09:36:48+09:00,3,1,2025-01-03,4,morning
V00000175,S003,T04,2025-01-03T18:29:40+09:00,2025-01-03T20:15:40+09:00,4,0,2025-01-03,4,evening
V00000176,S003,T30,2025-01-03T16:09:56+09:00,2025-01-03T17:26:56+09:00,1,0,2025-01-03,4,afternoon
V00000177,S001,T15,2025-01-04T16:57:35+09:00,2025-01-04T17:39:35+09:00,1,2,2025-01-04,5,afternoon
V00000178,S001,T04,2025-01-04T10:53:55+09:00,2025-01-04T12:03:55+09:00,1,2,2025-01-04,5,morning
V00000179,S001,T25,2025-01-04T16:33:50+09:00,2025-01-04T18:06:50+09:00,2,1,2025-01-04,5,afternoon
V00000180,S001,T25,2025-01-04T14:42:35+09:00,2025-01-04T16:28:35+09:00,3,2,2025-01-04,5,lunch
V00000181,S001,T11,2025-01-04T09:11:24+09:00,2025-01-04T11:04:24+09:00,1,0,2025-01-04,5,morning
V00000182,S001,T20,2025-01-04T10:48:13+09:00,2025-01-04T12:21:13+09:00,4,2,2025-01-04,5,morning
V00000183,S001,T17,2025-01-04T15:20:58+09:00,2025-01-04T16:40:58+09:00,2,0,2025-01-04,5,afternoon
V00000184,S001,T23,2025-01-04T12:30:08+09:00,2025-01-04T13:20:08+09:00,1,1,2025-01-04,5,lunch
V00000185,S001,T05,2025-01-04T13:05:15+09:00,2025-01-04T14:56:15+09:00,2,2,2025-01-04,5,lunch
V00000186,S001,T21,2025-01-04T12:45:15+09:00,2025-01-04T13:59:15+09:00,4,1,2025-01-04,5,lunch
V00000187,S001,T10,2025-01-04T11:03:25+09:00,2025-01-04T12:25:25+09:00,2,1,2025-01-04,5,lunch
V00000188,S001,T11,2025-01-04T19:40:07+09:00,2025-01-04T21:01:07+09:00,3,0,2025-01-04,5,evening
V00000189,S001,T12,2025-01-04T18:03:55+09:00,2025-01-04T19:10:55+09:00,3,2,2025-01-04,5,evening
V00000190,S002,T02,2025-01-04T21:00:36+09:00,2025-01-04T22:02:36+09:00,4,1,2025-01-04,5,evening
V00000191,S002,T16,2025-01-04T12:54:53+09:00,2025-01-04T14:02:53+09:00,4,2,2025-01-04,5,lunch
V00000192,S002,T15,2025-01-04T13:22:30+09:00,2025-01-04T15:12:30+09:00,1,0,2025-01-04,5,lunch
V00000193,S002,T27,2025-01-04T19:38:20+09:00,2025-01-04T21:22:20+09:00,1,2,2025-01-04,5,evening
V00000194,S002,T05,2025-01-04T10:40:26+09:00,2025-01-04T12:29:26+09:00,3,2,2025-01-04,5,morning
V00000195,S002,T02,2025-01-04T07:50:02+09:00,2025-01-04T08:47:02+09:00,4,0,2025-01-04,5,morning
V00000196,S002,T18,2025-01-04T18:56:44+09:00,2025-01-04T19:38:44+09:00,1,0,2025-01-04,5,evening
V00000197,S002,T13,2025-01-04T15:16:03+09:00,2025-01-04T16:19:03+09:00,2,0,2025-01-04,5,afternoon
V00000198,S002,T23,2025-01-04T18:56:20+09:00,2025-01-04T19:58:20+09:00,3,0,2025-01-04,5,evening
V00000199,S003,T24,2025-01-04T10:24:40+09:00,2025-01-04T11:31:40+09:00,1,0,2025-01-04,5,morning
V00000200,S003,T05,2025-01-04T15:17:03+09:00,2025-01-04T16:11:03+09:00,4,0,2025-01-04,5,afternoon
V00000201,S003,T04,2025-01-04T10:37:35+09:00,2025-01-04T12:24:35+09:00,3,2,2025-01-04,5,morning
V00000202,S003,T02,2025-01-04T19:17:13+09:00,2025-01-04T20:53:13+09:00,1,1,2025-01-04,5,evening
V00000203,S003,T18,2025-01-04T16:34:50+09:00,2025-01-04T18:21:50+09:00,2,0,2025-01-04,5,afternoon
V00000204,S003,T07,2025-01-04T21:02:59+09:00,2025-01-04T22:08:59+09:00,3,1,2025-01-04,5,evening
V00000205,S003,T24,2025-01-04T21:23:34+09:00,2025-01-04T22:21:34+09:00,3,2,2025-01-04,5,evening
V00000206,S003,T22,2025-01-04T20:08:05+09:00,2025-01-04T21:31:05+09:00,4,2,2025-01-04,5,evening
V00000207,S003,T06,2025-01-04T19:50:41+09:00,2025-01-04T20:41:41+09:00,2,2,2025-01-04,5,evening
V00000208,S003,T27,2025-01-04T18:43:45+09:00,2025-01-04T20:22:45+09:00,3,2,2025-01-04,5,evening
V00000209,S003,T23,2025-01-04T12:50:16+09:00,2025-01-04T14:31:16+09:00,4,2,2025-01-04,5,lunch
V00000210,S003,T29,2025-01-04T11:33:26+09:00,2025-01-04T12:34:26+09:00,2,1,2025-01-04,5,lunch
V00000211,S003,T03,2025-01-04T21:08:41+09:00,2025-01-04T22:16:41+09:00,3,1,2025-01-04,5,evening
V00000212,S003,T30,2025-01-04T16:42:50+09:00,2025-01-04T18:14:50+09:00,1,0,2025-01-04,5,afternoon
V00000213,S003,T24,2025-01-04T17:18:28+09:00,2025-01-04T18:35:28+09:00,3,0,2025-01-04,5,afternoon
V00000214,S001,T05,2025-01-05T08:27:40+09:00,2025-01-05T09:16:40+09:00,1,0,2025-01-05,6,morning
V00000215,S001,T29,2025-01-05T08:40:08+09:00,2025-01-05T09:46:08+09:00,2,2,2025-01-05,6,morning
V00000216,S001,T16,2025-01-05T19:55:39+09:00,2025-01-05T21:24:39+09:00,4,1,2025-01-05,6,evening
V00000217,S001,T01,2025-01-05T18:21:24+09:00,2025-01-05T19:14:24+09:00,2,0,2025-01-05,6,evening
V00000218,S001,T13,2025-01-05T14:39:55+09:00,2025-01-05T15:27:55+09:00,1,0,2025-01-05,6,lunch
V00000219,S001,T24,2025-01-05T19:01:58+09:00,2025-01-05T20:26:58+09:00,4,1,2025-01-05,6,evening
V00000220,S001,T26,2025-01-05T16:00:58+09:00,2025-01-05T17:18:58+09:00,2,0,2025-01-05,6,afternoon
V00000221,S001,T05,2025-01-05T21:21:41+09:00,2025-01-05T23:00:00+09:00,2,1,2025-01-05,6,evening
V00000222,S001,T28,2025-01-05T20:58:52+09:00,2025-01-05T21:44:52+09:00,4,0,2025-01-05,6,evening
V00000223,S001,T24,2025-01-05T13:35:48+09:00,2025-01-05T15:35:48+09:00,1,2,2025-01-05,6,lunch
V00000224,S001,T22,2025-01-05T07:17:50+09:00,2025-01-05T08:42:50+09:00,2,0,2025-01-05,6,morning
V00000225,S002,T12,2025-01-05T10:03:26+09:00,2025-01-05T11:01:26+09:00,1,1,2025-01-05,6,morning
